model,features,number,hidden_channels,num_layers,dropout,lr,val_acc,test_acc,checkpoint
mlp,full,1,128,2, 0.5,0.01,0.5573,0.5321,checkpoints/mlp_full_1.pt
gcn,full,1,128,2, 0.5,0.01,0.7074,0.6996,checkpoints/gcn_full_1.pt
gcn,full,3,256,1, 0.5,0.01,0.7091,0.7032,checkpoints/gcn_full_3.pt
mlp,full,2,128,3, 0.5,0.01,0.5503,0.5273,checkpoints/mlp_full_2.pt
gcn,full,4,64,3, 0.5,0.01,0.7005,0.6918,checkpoints/gcn_full_4.pt
gcn,full,2,128,3, 0.5,0.01,0.7123,0.7008,checkpoints/gcn_full_2.pt
resgcn,full,1,128,2, 0.5,0.01,0.7056,0.6947,checkpoints/resgcn_full_1.pt
sage,full,1,128,2, 0.5,0.01,0.7023,0.6937,checkpoints/sage_full_1.pt
sage,full,2,128,3, 0.5,0.01,0.7112,0.7011,checkpoints/sage_full_2.pt
sage,full,3,256,2, 0.5,0.01,0.7108,0.7057,checkpoints/sage_full_3.pt
sage,full,4,64,3, 0.5,0.01,0.6968,0.6832,checkpoints/sage_full_4.pt
gat,full,0,64,2, 0.5,0.01,0.6599,0.6612,checkpoints/gat_full_0.pt
sage,degree,1,128,2, 0.5,0.01,0.4552,0.4436,checkpoints/sage_degree_1.pt
gcn,none,1,128,2, 0.5,0.01,0.2037,0.2046,checkpoints/gcn_none_1.pt
